economy,year,agri_gdp_share,rural_pop_share,gdp_per_capita,total_population,new_displacements,disp_per_100k,agri_gdp_share_lag1,rural_pop_share_lag1,gdp_per_capita_lag1,disp_per_100k_lag1,disp_risk_hist_3yr,log_gdp_per_capita_lag1,log_disp_per_100k,high_displacement_alert
UGA,2016,22.6603227869887,74.3046432865902,752.696571725656,38799152.0,1300.0,3.3505886932786573,23.4723696930371,75.0222143439573,862.934610355811,1.5986594281499305,74.77149902115043,6.761497083481442,1.4703111677322696,0
UGA,2017,23.4588353827426,73.5860739420454,765.218332297361,40177388.0,95070.0,236.62563629074143,22.6603227869887,74.3046432865902,752.696571725656,3.3505886932786573,47.58944544480328,6.624989862246345,5.470696478514599,0
UGA,2018,23.2502935412734,72.8719524981116,792.16570022814,41565831.0,164561.0,395.90451108748437,23.4588353827426,73.5860739420454,765.218332297361,236.62563629074143,80.52496147072334,6.641467158236338,5.983695725528119,1
UGA,2019,22.9455088065564,72.1630218200597,822.171150036357,42999637.0,90260.0,209.90874876455354,23.2502935412734,72.8719524981116,792.16570022814,395.90451108748437,211.96024535716813,6.676032153436512,5.351425569623639,0
UGA,2020,23.9290337205103,71.4600247728498,845.766463890124,44457152.0,70384.0,158.31873350771548,22.9455088065564,72.1630218200597,822.171150036357,209.90874876455354,280.81296538092647,6.713164137788554,5.070906808920282,0
UGA,2021,23.8418038272172,70.7637042210978,882.791717542504,45910930.0,46719.0,101.7600819674095,23.9290337205103,71.4600247728498,845.766463890124,158.31873350771548,254.7106644532511,6.7414249351346305,4.632396969900079,0
UGA,2022,24.0117220529553,70.0748030290335,963.067314117178,47312719.0,33478.0,70.75898554889648,23.8418038272172,70.7637042210978,882.791717542504,101.7600819674095,156.6625214132262,6.784221421236688,4.273313080929553,0
UGA,2023,24.0895746897278,69.3940640604505,1002.30913917142,48656601.0,49959.0,102.67671595062713,24.0117220529553,70.0748030290335,963.067314117178,70.75898554889648,110.27926700800715,6.871161120095073,4.641277557243385,0
UKR,2011,8.15022183877887,31.2765700173778,3656.69799804688,46307853.0,0.0,0.0,7.40220509822994,31.362602866643,3039.63232421875,0.0,0.0,8.019820774158724,0.0,0
UKR,2012,7.76131248389414,31.1758016892261,3951.34228515625,46210056.0,0.0,0.0,8.15022183877887,31.2765700173778,3656.69799804688,0.0,0.0,8.204589266233386,0.0,0
